Corridor #,Corridor Description,Corridor Num and Description,FY,Clean Corridor,Type,Detailed Type,Midpoint times,Side of street,SupDistrict,DPW Zone,Representative Street Segment,CNN (Route ID),Evaluation date,Evaluator name,Inspector,"11  Score (10, 20, or 30 score)","21  Litter (10, 20, or 30 score)","22  Grime, Leaks, Spills (% of sidewalk w/out)","24  Illegal Dumping (Y/N, where Y=none)","251  Feces, Needles, Condoms (Y/N, where Y=none)","252  Broken Glass (Y/N, where Y=none)",26  Odors (DPW),27  Odors (nonDPW),31  Public (DPW),32 Public (nonDPW),33  Private (Please indicate nearest address on attached work s,"34 Sidewalk (# on sidewalk, preiously 23)",Total # Trash Receptacles,41  Fullness,42  Cleanliness of trash receptacles,43  Cleanliness around trash receptacles,44  Painting,45  Structural integrity & function,46  Doors,Total # Trees,51  Cleanliness,52  Tree Appearance,53  Weediness,54  Clearance,11 pass,21  Pass,22  Pass,31  Pass,32 Pass,33  Pass,34 Pass,41  Pass,42  Pass,43  Pass,44  Pass,45  Pass,46  Pass,51  Pass,52  Pass,53 Pass,54  Pass,Longitude,Latitude,Location,Priority
,Chestnut St -- Van Ness to Laguna,,2013-14,,Residential,Residential,"Tue 2nd, 4th 9AM to 11AM",R,2,A,Chestnut St  :  Franklin St  -  Gough St,3971000,,,JBR,2.5,2.083333333,0.991666667,0,0,0,1,1,0,0.666666667,0,0.333333333,,1,1,1,1,1,0,,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,-122.4263773,37.80207187,,Regular
,Filbert St -- Franklin to Webster,,2014-15,,Residential,Residential,"Fri 2nd, 4th 9AM to 11AM",L,2,A,Filbert St  :  Octavia St  -  Laguna St,5518000,11/14/2014 0:00,Rheka,JBR,2.866666667,2.733333333,0.733333333,0,0,0,1,1,0,1.133333333,0,0.2,1,1,1,1,1,1,1,41,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4291022,37.79885752,,Regular
55,Natoma: 2nd - Fremont,#55 Natoma: 2nd - Fremont,2013-14,Clean Corridor,Commercial,Public/Commercial,Mon 8AM to 12PM,R,6,B,Natoma St  :  Fremont St  -  01st St,9506000,,,JBR,2,2,0.875,1,1,1,1,0,0,0,0,0,,,,,,,,,1,1,1,1,0,0,0,1,1,1,1,,,,,,,1,1,1,1,-122.3956851,37.78966045,,Regular
,Balboa St -- 21st to 26th Ave,,2013-14,,Residential,Residential,"Fri 1st, 3rd 9AM to 11AM",L,1,C,Balboa St  :  25th Ave  -  26th Ave,2670000,,,JBR,1.6,1.8,0.9,1,0,1,1,0,0,1.4,1,0,,1,1,0.333333333,1,1,1,,0.571428571,1,0.871428571,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,-122.4844607,37.77630217,,Regular
61,Valencia: 16th - 20th,#61 Valencia: 16th - 20th,2013-14,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,9,D,Valencia St  :  17th St  -  Clarion Aly,13061000,,,JBR,2.3125,1.6875,0.9125,1,1,0,1,1,0,0.5625,0.3125,0.4375,,1,1,0.75,1,1,1,,0,1,0.954545455,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,-122.4217315,37.76329977,,Regular
,Grafton Ave -- Harold to Miramar,,2014-15,,Residential,Residential,"Wed 2nd, 4th  12PM to 2PM",L,11,E,Grafton Ave  :  Harold Ave  -  Lee Ave,6356000,12/10/2014 0:00,Rheka,JBR,2.9,2.5,0.725,1,1,1,1,1,0,0.7,0.1,0,0,,,,,,,4,0,1,1,1,0,0,0,1,0,0,1,,,,,,,0,1,1,1,-122.453092,37.72004059,,Regular
,Silver Ave -- Mission Ave to Cambridge,,2013-14,,Residential,Residential,Mon 8AM to 12PM,L,11,E,Silver Ave  :  Vienna St  -  Madison St,11901000,,,JBR,2.658333333,1.95,0.996666667,0,0,0,1,1,0.133333333,0.283333333,0.2,0.1,,1,1,1,1,1,1,,0.496527778,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4241987,37.72873555,,Regular
94,Castro,#94 Castro,2014-15,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,8,D,Castro St  :  Market St  -  18th St,3790000,1/30/2015 0:00,Rheka,JBR,2,2,0.8,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,12,0.416666667,1,1,1,,,,,,,,,,,,,,,,,,-122.435188,37.76267071,,Regular
45,3rd St B: Mariposa - 23rd,#45 3rd St B: Mariposa - 23rd,2013-14,Clean Corridor,Commercial,Mixed Use,Wed 12PM to 5PM,L,10,E,03rd St  :  Mariposa St  -  18th St,187101,,,JBR,2.174285714,1.853333333,0.868833333,0,0,1,1,0,0.028571429,0.213333333,0.033333333,0,,1,1,1,1,1,1,,0.452164502,0.93026973,0.82961039,0.914885115,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,-122.3888513,37.76432184,,Regular
,Sloat Blvd -- 20th to 25th Ave,,2013-14,,Residential,Residential,Mon 8AM to 12PM,L,7,F,Sloat Blvd  :  20th Ave  -  21st Ave,11951102,,,JBR,1,1,0.97,1,1,1,1,1,0,0,0,0,,,,,,,,,1,1,0,1,1,1,1,1,1,1,1,,,,,,,1,1,0,1,-122.4761598,37.73455352,,Regular
11,Clement A: Argruello - 5th Ave,#11 Clement A: Argruello - 5th Ave,2014-15,Clean Corridor,Commercial,Commercial,Tue 12PM to 5PM,R,1,C,Clement St  :  Arguello Blvd  -  02nd Ave,4150000,11/11/2014 0:00,Rheka,JBR,1.875,2.375,0.9,0,0,1,1,1,0.125,1.75,0,1.25,1,1,1,1,1,1,1,8,0.5,0.5,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,-122.4589984,37.78318866,,Regular
51,Noriega B: 30th - 33rd,#51 Noriega B: 30th - 33rd,2014-15,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,R,4,F,Noriega St  :  30th Ave  -  31st Ave,9664000,2/19/2015 0:00,Emilia,JBR,3,2.666666667,0.791666667,0,1,1,1,1,0,0,0,0,4,1,1,1,1,1,1,10,0.1,1,1,1,,,,,,,,,,,,,,,,,,-122.4882641,37.7537209,,Regular
79,Market 1: 3rd - 6th,#79 Market 1: 3rd - 6th,2013-14,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,6,B,Market St  :  02nd St  -  Montgomery St,8743101,,,JBR,1.799319728,1.383673469,0.956292517,1,1,1,0,1,0,0,0,0,,0.964285714,1,0.69047619,1,0.952380952,0.880952381,,0.328083028,1,0.952380952,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-122.4013755,37.78926432,,Regular
22,Irving A: 19th Ave - 25th Ave,#22 Irving A: 19th Ave - 25th Ave,2014-15,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,4,F,Irving St  :  19th Ave  -  20th Ave,7296000,8/1/2014 0:00,Albert,JBR,2.916666667,1.277777778,0.90625,1,0,1,1,1,0,0.083333333,0,0.083333333,,1,1,0.5,1,1,1,,0.5,0.944444444,0.958333333,0.958333333,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,-122.4771741,37.7635595,,Regular
,03rd Ave: Hugo St - Irving St,,2014-15,,Residential,Residential,"Fri 2nd, 4th 11AM to 1PM",L,5,C,03rd Ave  :  Hugo St  -  Irving St,161000,5/8/2015 0:00,Saul,JBR,1,1.483333333,0.897,1,0,1,1,1,0,0.416666667,0,0.15,0,,,,,,,18,0.722222222,1,0.833333333,1,1,1,0,1,0,1,0,,,,,,,0,1,0,1,-122.459953,37.76525678,,Regular
,Grand View Ave -- Romain St to Elizabeth,,2013-14,,Residential,Residential,"Wed 1st, 3rd  12PM to 2PM",L,8,D,Grand View Ave  :  Romain St  -  Morgan Aly,6372201,,,JBR,1,1.066666667,0.97,1,1,1,1,1,0,0,0,0,,,,,,,,,0.833333333,0.833333333,0.333333333,0.416666667,1,1,1,1,1,1,1,,,,,,,0,0,0,0,-122.4401339,37.75642268,,Regular
35,Irving B: 6th - Funston,#35 Irving B: 6th - Funston,2013-14,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,5,C,09th Ave  :  Lincoln Way  -  Irving St,431000,,,JBR,2.071428571,2.107142857,0.75,1,0,1,1,0,0.392857143,0.25,0.785714286,0,,1,1,0.785714286,1,1,1,,0.035714286,0.976190476,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,-122.4664425,37.76592466,,Regular
,Lake St -- 23rd to 28th Ave,,2014-15,,Residential,Residential,"Mon 1st, 3rd 1PM to 3PM",R,2,A,Lake St  :  27th Ave  -  28th Ave,8036000,3/16/2015 0:00,Saul,JBR,1.2,1.4,0.99,1,1,0,1,1,0.1,1.1,0,0.2,0,,,,,,,44,0.808311688,0.971428571,1,0.971428571,1,1,1,0,0,1,0,,,,,,,0,1,1,1,-122.4872864,37.78564884,,Regular
,Broderick St -- Bush to Washington,,2014-15,,Residential,Residential,"Wed 2nd, 4th  12PM to 2PM",L,2,A,Broderick St  :  Sacramento St  -  Clay St,3207000,5/13/2015 0:00,Saul,JBR,1.866666667,1.666666667,0.905333333,1,0,1,1,1,0.066666667,0.733333333,0,0,0,,,,,,,41,0.428116883,0.923636364,0.705519481,0.963636364,1,1,1,0,0,1,1,,,,,,,0,1,0,1,-122.4422973,37.78878075,,Regular
78,Van Ness 9: Greenwich - North Point,#78 Van Ness 9: Greenwich - North Point,2014-15,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,R,2,A,Van Ness Ave  :  Greenwich St  -  Lombard St,13169101,6/26/2015 0:00,Saul,JBR,1.133333333,1.666666667,0.925333333,1,0,0,1,1,0.2,1.933333333,0,0.2,4,1,1,0.75,1,1,0.75,21,0.44,0.96,1,1,,,,,,,,,,,,,,,,,,-122.4243587,37.80041503,,Regular
,28th Ave -- California to Cabrillo,,2013-14,,Residential,Residential,"Fri 1st, 3rd 9AM to 11AM",R,1,C,28th Ave  :  Clement St  -  Geary Blvd,1578000,,,JBR,1.83,1.09,0.9962,0,1,1,1,1,0.29,0.42,0,0,,,,,,,,,1,1,1,1,1,1,1,0,0,1,1,,,,,,,1,1,1,1,-122.488085,37.7818745,,Regular
,Joost Ave -- Lippard to Foerster,,2013-14,,Residential,Residential,"Fri 1st, 3rd 12PM to 2PM",R,7,F,Joost Ave  :  Edna St  -  Foerster St,7612000,,,JBR,1,1.111111111,1,1,1,1,1,1,0.25,0.472222222,0,0.083333333,,,,,,,,,0.838744589,0.892857143,1,1,1,1,1,0,0,1,0,,,,,,,0,0,1,1,-122.4472968,37.73233344,,Regular
20,West Portal: Ulloa - 15th Ave,#20 West Portal: Ulloa - 15th Ave,2014-15,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,7,F,West Portal Ave  :  Ulloa St  -  Vicente St,13577101,9/26/2014 0:00,Albert,JBR,1,1.158730159,0.986507937,1,1,1,1,1,0.047619048,0.317460317,0.047619048,0,,0.833333333,1,0.333333333,1,1,1,,0.696179183,1,0.940711462,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,-122.465829,37.74089198,,Regular
71,Van Ness 2: 22nd - 18th,#71 Van Ness 2: 22nd - 18th,2013-14,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,L,9,D,South Van Ness Ave  :  18th St  -  19th St,12025000,,,JBR,1.1875,1.0625,0.990625,1,1,0,1,1,0.625,0.25,2.5,0.8125,,1,1,0.5,0.5,1,1,,0.955882353,0.908088235,1,0.985294118,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,-122.4171789,37.76196753,,Regular
23,Chestnut: Fillmore - Divisadero,#23 Chestnut: Fillmore - Divisadero,2014-15,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,2,A,Chestnut St  :  Fillmore St  -  Mallorca Way,3977000,8/1/2014 0:00,Albert,JBR,2.1875,1.3125,0.868125,1,1,1,1,1,0,0,0,0,,0.875,1,1,1,1,1,,0.761904762,0.964285714,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-122.4362739,37.80081414,,Regular
48,3rd St E: Oakdale - Williams,#48 3rd St E: Oakdale - Williams,2013-14,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,10,E,03rd St  :  Oakdale Ave  -  Palou Ave,212101,,,JBR,2.5,1.714285714,0.865714286,0,0,0,0,1,0,1.142857143,0.357142857,0.142857143,,1,0.5,0.416666667,1,1,1,,0.490136054,0.985714286,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,-122.3906938,37.73479736,,Regular
,31st Ave -- Pacheco to Taraval,,2014-15,,Residential,Residential,"Mon 1st, 3rd 9AM to 11AM",L,4,F,31st Ave  :  Quintara St  -  Rivera St,1692000,2/2/2015 0:00,Emilia,JBR,2.1875,2,0.796875,1,1,1,1,1,0,0.125,0,0,0,,,,,,,14,0.677777778,0.833333333,1,1,0,0,0,1,0,1,1,,,,,,,0,0,1,1,-122.4889365,37.74807801,,Regular
71,Van Ness 2: 22nd - 18th,#71 Van Ness 2: 22nd - 18th,2013-14,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,L,9,D,South Van Ness Ave  :  18th St  -  19th St,12025000,,,JBR,1.333333333,1.083333333,0.927083333,1,1,1,1,1,0,0.041666667,0.041666667,0.291666667,,1,1,1,0.5,1,1,,0.74754902,0.900326797,0.746732026,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,-122.4171789,37.76196753,,Regular
,Goettingen St -- Ordway to Campbell,,2014-15,,Residential,Residential,"Tue 12PM to 5PM, Wed 8AM to 12PM",R,10,E,Goettingen St  :  Wilde Ave  -  Alpha St,6246000,4/7/2015 0:00,Rheka,JBR,2.866666667,2.066666667,0.806666667,0,1,0,1,1,0,0.6,0,0,0,,,,,,,6,0.166666667,1,1,1,0,0,0,1,0,1,1,,,,,,,0,1,1,1,-122.4021212,37.7161345,,Regular
103,"Fillmore I: Hayes, Laguna - Gough","#103 Fillmore I: Hayes, Laguna - Gough",2014-15,,Commercial,Commercial,Mon 8AM to 12PM,R,5,C,Hayes St  :  Gough St  -  Octavia St,6816000,8/11/2014 0:00,Albert,JBR,3,1.375,0.85375,1,1,1,1,1,0,0.5,0.95,0.625,,1,1,1,1,1,1,,0.791666667,1,0.9875,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4229781,37.77688353,,Regular
,Bush St -- Mason to Larkin,,2013-14,,Residential,Residential,Mon 8AM to 12PM,L,3,A,Bush St  :  Jones St  -  Leavenworth St,3440000,,,JBR,3,2.8,0.883333333,0,0,1,1,0,0.066666667,1.2,0.066666667,0.2,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,,,,,,,0,1,1,1,-122.4137284,37.78952932,,Regular
,Bush St -- Mason to Larkin,,2013-14,,Residential,Residential,Mon 8AM to 12PM,L,3,A,Bush St  :  Jones St  -  Leavenworth St,3440000,,,JBR,2.7,2.05,0.85,1,0,0,1,0,0,1.55,0.55,0.5,,,,,,,,,0.413333333,1,1,1,0,0,0,1,0,0,0,,,,,,,0,1,1,1,-122.4137284,37.78952932,,Regular
18,Mission DD: Harrington - France,#18 Mission DD: Harrington - France,2014-15,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,11,E,Mission St  :  Harrington St  -  Brazil Ave,9163000,9/5/2014 0:00,Albert,JBR,2.128571429,1.776190476,0.789761905,0,0,0,1,1,0.133333333,0.271428571,1.133333333,0.085714286,,1,1,0.666666667,0.666666667,1,1,,0.356666667,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,-122.4344257,37.72517548,,Regular
1,Mission A: 18th - 13th,#1 Mission A: 18th - 13th,2013-14,Clean Corridor,Commercial,Commercial,Mon 12PM to 5PM,R,9,D,Mission St  :  Hwy 101 Northbound  -  Erie St,9112101,,,JBR,1.95,1.35,0.9975,0,0,1,1,1,0.55,1.6,4.5,2.15,,1,1,1,1,1,1,,0.966666667,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-122.4200083,37.77011145,,Regular
,Dolores St -- 27th St to San Jose Ave,,2013-14,,Residential,Residential,Thurs 12PM to 5pm,L,8,D,Dolores St  :  Duncan St  -  28th St,4885101,,,JBR,1.571428571,1.142857143,0.985714286,1,1,0,1,1,0.142857143,0,0.071428571,0,,1,1,1,1,1,1,,0.939393939,1,1,0.916666667,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,-122.4246028,37.7462414,,Regular
70,Van Ness 1: Cesar Chavez - 22nd,#70 Van Ness 1: Cesar Chavez - 22nd,2014-15,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,L,9,D,South Van Ness Ave  :  22nd St  -  23rd St,12029000,12/5/2014 0:00,Rheka,JBR,2.8,2.666666667,0.723333333,0,0,0,1,1,0.333333333,5,6.266666667,1.666666667,3,1,1,1,1,1,0.666666667,53,0,1,1,1,,,,,,,,,,,,,,,,,,-122.4165666,37.75556828,,Regular
17,Ocean B: Capitol - Manor,#17 Ocean B: Capitol - Manor,2014-15,Clean Corridor,Commercial,Commercial,Mon 12PM to 5PM,L,7,F,Ocean Ave  :  Capitol Ave  -  Faxon Ave,9827101,12/29/2014 0:00,Rheka,JBR,2.0625,2,0.905,1,1,1,1,1,0,0.375,0,0,4,1,1,1,1,1,1,42,0.741326531,0.979591837,1,1,,,,,,,,,,,,,,,,,,-122.4592128,37.72453317,,Regular
,Madrid St -- Silver Ave to Persia,,2013-14,,Residential,Residential,Fri 12PM to 5PM,R,11,E,Madrid St  :  Silver Ave  -  Peru Ave,8603000,,,JBR,2.75,2.4,0.9925,1,0,0,1,1,0,0,0,0,,,,,,,,,0.723214286,1,0.751785714,1,0,0,1,1,1,1,1,,,,,,,0,1,0,1,-122.42758,37.7285663,,Regular
40,Geneva: Alemany - Naples,#40 Geneva: Alemany - Naples,2013-14,Clean Corridor,Commercial,Residential,Thu 12PM to 5PM,R,11,E,Geneva Ave  :  Alemany Blvd  -  Gloria Ct,6136101,,,JBR,2.760204082,2.023809524,0.83835034,1,1,1,0,0,0.035714286,0.222789116,0.083333333,0,,0.666666667,1,0.333333333,0.666666667,1,1,,0.49,1,0.95,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,-122.4423282,37.71783345,,Regular
,24th Ave -- Traval to Wawona,,2013-14,,Residential,Residential,"Tues 1st, 3rd  8AM to 10AM",L,4,F,24th Ave  :  Vicente St  -  Wawona St,1312000,,,JBR,1.25,1.166666667,0.97,1,0,0,1,0,0,0.416666667,0,0,,,,,,,,,0.753156566,0.958333333,0.696338384,0.916666667,1,1,1,1,0,1,1,,,,,,,0,1,0,1,-122.4807868,37.73908876,,Regular
,Lane St -- Palou to Underwood,,2013-14,,Residential,Residential,Thurs 12PM to 5pm,L,10,E,Lane St  :  Palou Ave  -  Quesada Ave,8089000,,,JBR,2.9,2.6,0.905,0,0,0,1,0,0,0.1,0,0.2,,,,,,,,,0.15,0.533333333,0.483333333,0.95,0,0,1,1,0,1,0,,,,,,,0,0,0,1,-122.3890351,37.7329189,,Regular
,Joost Ave -- Lippard to Foerster,,2013-14,,Residential,Residential,"Fri 1st, 3rd 12PM to 2PM",R,7,F,Joost Ave  :  Edna St  -  Foerster St,7612000,,,JBR,1,1,0.95,1,0,1,1,0,0.057142857,0.492857143,0,0,,,,,,,,,0.949350649,0.949350649,0.66963037,0.949350649,1,1,1,0,0,1,1,,,,,,,1,1,0,1,-122.4472968,37.73233344,,Regular
,43rd Ave -- Pacheco to Taraval,,2013-14,,Residential,Residential,"Mon 1st, 3rd 12PM to 2PM",L,4,F,43rd Ave  :  Rivera St  -  Santiago St,1964000,,,JBR,1.125,1,1,1,1,1,1,1,0.0625,0.0625,0,0,,,,,,,,,0.666666667,1,0.666666667,1,1,1,1,0,0,1,1,,,,,,,0,1,0,1,-122.5016694,37.74564495,,Regular
26,San Bruno: Silver - Wayland,#26 San Bruno: Silver - Wayland,2014-15,Clean Corridor,Commercial,Public/Commercial,Fri 12PM to 5PM,L,9,D,San Bruno Ave  :  Silver Ave  -  Silliman St,11373000,9/26/2014 0:00,Albert,JBR,1.066666667,1.426666667,0.831666667,1,0,1,1,1,0.133333333,0.413333333,0.073333333,0.333333333,,0.333333333,1,1,0.666666667,1,1,,0.605502137,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,-122.4056075,37.73243866,,Regular
101,"Fillmore G: Golden Gate, Steiner - Laguna","#101 Fillmore G: Golden Gate, Steiner - Laguna",2013-14,,Commercial,Residential,Mon 8AM to 12PM,R,5,C,Golden Gate Ave  :  Laguna St  -  Webster St,6269000,,,JBR,2.166666667,2.083333333,0.9,1,0,1,1,0,0,0.583333333,0.0833,0.75,,1,1,1,1,1,1,,0.55,0.875,0.829166667,0.875,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,-122.4270168,37.78019303,,Regular
,Campbell Ave -- San Bruno to Delta,,2013-14,,Residential,Residential,Mon 12PM to 5PM,L,10,E,Campbell Ave  :  Holyoke St  -  Alpha St,3642000,,,JBR,1.226190476,1.596825397,0.928452381,1,0,1,1,1,0,0.023809524,0,0.25,,,,,,,,,1,1,0.96875,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4035066,37.71435723,,Regular
34,Divisadero B: Geary - McAllister,#34 Divisadero B: Geary - McAllister,2013-14,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,5,C,Divisadero St  :  McAllister St  -  Golden Gate Ave,4806101,,,JBR,1.75,1.333333333,0.875,0,0,1,1,0,0.333333333,1.5,0.25,0.833333333,,1,1,1,1,1,1,,0.509259259,1,0.930555556,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4383655,37.77779419,,Regular
,10th Ave -- Moraga to Mendosa Ave,,2014-15,,Residential,Residential,"Tue 2nd, 4th 8AM to 10AM",R,7,F,10th Ave  :  Quintara St  -  Mendosa Ave,479000,7/8/2014 0:00,Albert,JBR,1.133333333,1.033333333,0.975714286,1,1,1,1,1,0,0,0,0,,,,,,,,,0.887079832,0.967436975,0.823266807,1,1,1,1,1,1,1,1,,,,,,,0,1,0,1,-122.4663364,37.74907463,,Regular
6,Columbus: Powell - Pacific,#6 Columbus: Powell - Pacific,2013-14,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,R,3,A,Columbus Ave  :  Pacific Ave  -  Jack Kerouac Aly,4290000,,,JBR,2.376666667,1.406666667,0.884333333,1,1,1,1,1,0.066666667,0,0,0,,0.833333333,1,1,1,1,1,,0.416666667,0.9,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,-122.4055129,37.79706459,,Regular
37,Geary C: Mason - Van Ness,#37 Geary C: Mason - Van Ness,2014-15,Clean Corridor,Commercial,Commercial,Tue 12PM to 5PM,R,3,A,Geary St  :  Mason St  -  Taylor St,6111000,12/9/2014 0:00,Rheka,JBR,2.952380952,2.857142857,0.828809524,0,0,0,1,0,0.214285714,26.69047619,3.5,4.785714286,8,0.857142857,1,0.571428571,1,1,0.928571429,24,0.2,0.733333333,1,1,,,,,,,,,,,,,,,,,,-122.409874,37.78714914,,Regular
57,Mission F: 10th -Otis/13th,#57 Mission F: 10th -Otis/13th,2014-15,Clean Corridor,Commercial,Commercial,Mon 12PM to 5PM,L,6,B,Mission St  :  11th St  -  Lafayette St,9109101,9/15/2014 0:00,Albert,JBR,1.371428571,1.266666667,0.932380952,1,1,1,0,1,0.728571429,0.061904762,0.057142857,0.5,,,,,,,,,0.818444954,0.851005857,0.912044818,1,1,1,1,0,0,0,0,,,,,,,0,0,1,1,-122.4171041,37.77432529,,Regular
,Silliman St -- Brussels to Bowdoin,,2014-15,,Residential,Residential,Fri 12PM to 5PM,L,9,D,Silliman St  :  Hamilton St  -  Bowdoin St,11879000,5/1/2015 0:00,Emilia,JBR,1.125,1.473214286,0.896607143,1,0,1,1,1,0,0.294642857,0,0,0,,,,,,,25,0.316666667,0.979166667,0.645833333,1,1,1,0,1,0,1,1,,,,,,,0,1,0,1,-122.4110145,37.72968772,,Regular
,Farallones St -- San Jose to Orizaba,,2013-14,,Residential,Residential,"Wed 2nd, 4th  9AM to 11AM",L,11,E,Farallones St  :  Capitol Ave  -  Orizaba Ave,5408000,,,JBR,3,2.944444444,0.994666667,0,0,0,1,1,0.150793651,0.904761905,0.047619048,0,,,,,,,,,0.25,0.964285714,0.392857143,1,0,0,1,0,0,0,1,,,,,,,0,1,0,1,-122.4590354,37.7140553,,Regular
,Silver Ave -- Mission Ave to Cambridge,,2014-15,,Residential,Residential,Mon 8AM to 12PM,L,11,E,Silver Ave  :  Vienna St  -  Madison St,11901000,12/29/2014 0:00,Rheka,JBR,3,3,0.823958333,0,0,0,1,1,0.083333333,0.1875,0,0.208333333,2,1,1,0.5,1,1,1,49,0.0375,1,0.945833333,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,-122.4241987,37.72873555,,Regular
,Concord St -- Mission to Hanover,,2014-15,,Residential,Residential,"Mon 12PM to 5PM, Tue 8AM to 12PM",R,11,E,Concord St  :  Pretor Way  -  Hanover St,4322000,4/7/2015 0:00,Rheka,JBR,2.1875,2,0.828125,0,0,1,1,1,0,0.166666667,0,0,0,,,,,,,2,1,1,1,1,0,0,0,1,0,1,1,,,,,,,1,1,1,1,-122.4418916,37.71031407,,Regular
79,Market 1: 3rd - 6th,#79 Market 1: 3rd - 6th,2014-15,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,6,B,Market St  :  02nd St  -  Montgomery St,8743101,1/14/2015 0:00,Rheka,JBR,2.797619048,2.880952381,0.785714286,0,0,0,1,0,0,0.142857143,0,0,15,1,1,1,1,1,1,113,0,0.991596639,1,1,,,,,,,,,,,,,,,,,,-122.4013755,37.78926432,,Regular
46,3rd St C: 23rd - Galvez,#46 3rd St C: 23rd - Galvez,2013-14,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,10,E,03rd St  :  23rd St  -  24th St,192101,,,JBR,1.095238095,1.285714286,0.998095238,1,1,0,1,1,0,0.238095238,0.357142857,0.047619048,,1,1,1,1,1,1,,0.88327149,0.961904762,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.3880011,37.75538989,,Regular
,20th Ave -- California to Cabrillo,,2013-14,,Residential,Residential,"Mon 1st, 3rd 8AM to 10AM",R,1,C,20th Ave  :  California St  -  Clement St,999000,,,JBR,1.48,1.2,0.9984,0,0,0,1,1,0.08,0.32,0.32,0.2,,,,,,,,,0.853333333,1,1,1,1,1,1,0,0,0,0,,,,,,,0,1,1,1,-122.4796509,37.78412535,,Regular
,18th Ave -- Taraval to Wawona,,2014-15,,Residential,Residential,"Tue 2nd, 4th 1PM to 3PM",R,7,F,18th ave :  Taraval st - Wawona st,848000,7/8/2014 0:00,Albert,JBR,1.563492063,1.301587302,0.973015873,1,1,0,1,1,0,0.436507937,0,0,,,,,,,,,0.944444444,1,0.923611111,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.4743646,37.73937137,,Regular
,28th Ave -- California to Cabrillo,,2013-14,,Residential,Residential,"Fri 1st, 3rd 9AM to 11AM",R,1,C,28th Ave  :  Clement St  -  Geary Blvd,1578000,,,JBR,1.8,2,0.91,1,1,1,1,1,0,0.4,0,0.05,,,,,,,,,0.53125,1,1,1,1,0,1,1,0,1,0,,,,,,,0,1,1,1,-122.488085,37.7818745,,Regular
